dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
PACIFICWEST REGIONAL EYECARE PC #2177,92123,60730093064,"{""060730095111"":16,""060730093061"":13,""060730095101"":10,""060730095061"":10,""060730093051"":9,""060730096033"":8,""060730095112"":8,""060730093053"":6,""060730095102"":6,""060730027083"":6,""060730022023"":6,""060730095103"":6,""060730211004"":5,""060730009002"":5,""060730093063"":5,""060730095022"":5,""060730093012"":5,""060730157013"":5,""060730095091"":5,""060730083052"":5,""060730012002"":5,""060730170553"":4,""060730012004"":4,""060730025011"":4,""060730031093"":4,""060730029022"":4,""060730085104"":4,""060730096021"":4,""060730027121"":4,""060730085094"":4,""060730031032"":4,""060730032143"":4,""060730027051"":4,""060730130004"":4,""060730146021"":4,""060730083483"":4,""060650432571"":4,""060730083511"":4,""060730159024"":4,""060730012001"":4,""060730066001"":4,""060730096031"":4,""060730095054"":4,""060730031031"":4,""060730016002"":4,""060730092022"":4,""060730021005"":4,""040131167023"":4,""060730093041"":4,""060730024021"":4,""060730033012"":4,""060730139061"":4,""490490006042"":4,""060730034014"":4,""060730088004"":4,""060730035011"":4,""060730054004"":4,""060730049003"":4,""060730040004"":4,""060730083403"":4,""060730091071"":4,""201770034002"":4,""060730018004"":4,""060710070003"":4,""060730212061"":4,""060730039011"":4,""060730085111"":4,""060730068021"":4,""060730139032"":4,""050850201021"":4,""060730029043"":4,""040130405211"":4,""060730100093"":4,""060730083033"":4,""060730069001"":4,""060730083471"":4,""060730085011"":4,""390998016003"":4,""320030028323"":4,""060730027111"":4,""060730093014"":4,""040130609042"":4,""060730170371"":4,""060730139052"":4,""120830026041"":4,""051190047005"":4,""400272025004"":4,""530350928021"":4,""060730026013"":4,""060730032022"":4,""060730093064"":4,""060710100181"":4,""060374081332"":4,""060730170492"":4,""060730083573"":4,""060730092021"":4,""060730022011"":4,""060730092011"":4,""060730087023"":4,""060730010004"":4,""060730142002"":4,""060730140021"":4,""060730033052"":4,""060730027074"":4,""060730096043"":4,""060730051002"":4,""060730051001"":4,""060730022021"":4,""060730026012"":4,""060710110013"":4,""060730036011"":4,""060730095071"":4,""060730027033"":4,""060730025022"":4,""040131159001"":4,""060730021002"":4,""060730028032"":4,""060730091072"":4,""060730096034"":4,""060730083562"":4,""060730204032"":4,""060730093052"":4,""060730149012"":4,""060730088001"":4,""482015544031"":4,""060730026023"":4,""060730085103"":4,""060730092012"":4}","{""060730085111"":19,""060730095111"":16,""060730093061"":10,""060730095112"":9,""060730083581"":8,""060730093064"":7,""060730050001"":6,""060730049003"":6,""060730083501"":6,""060730095071"":6,""060730095102"":6,""060730039021"":6,""060730096043"":5,""482015544031"":5,""060730087011"":5,""060730093014"":5,""060730092012"":5,""060730095061"":5,""060730065002"":5,""060730095022"":5,""060730096034"":4,""060730091072"":4,""060730071003"":4,""060730208013"":4,""060730028011"":4,""060730092021"":4,""060730022011"":4,""060730039011"":4,""060730027084"":4,""060730095101"":4,""060730022021"":4,""060730018004"":4,""060730094001"":4,""060730040004"":4,""060730021005"":4,""060730033042"":4,""060730027083"":4,""060730093051"":4,""060730088001"":4,""060730041001"":4,""060730133094"":4,""060730038001"":4,""060730042002"":4,""060730031012"":4,""060730083511"":4,""060730170561"":4,""060730032091"":4,""060730095092"":4,""060730083541"":4,""060730093052"":4,""060650432281"":4,""060730093041"":4,""060730159024"":4,""060730087023"":4,""060710044033"":4,""060730204032"":4,""060730003003"":4,""530770030023"":4,""060730207092"":4,""060730033012"":4,""060730021002"":4,""060730087021"":4,""060730093063"":4,""060730012001"":4,""060730029043"":4,""400272025004"":4,""060730016004"":4,""060730095053"":4,""060730025022"":4,""060730008001"":4,""060730096021"":4,""060730030031"":4,""060730083592"":4,""060730053004"":4,""060730131022"":4,""060730005003"":4,""060730027031"":4,""060730219001"":4,""060730012002"":4,""060730010004"":4,""060730083461"":4,""060730093053"":4,""060730136041"":4,""040131159001"":4,""490490006042"":4,""060730083052"":4,""060730027033"":4,""484391217033"":4,""060730096031"":4,""060710109025"":4,""060730020022"":4,""060730022023"":4,""060730124023"":4,""060730068021"":4,""060730157013"":4,""060730212051"":4,""060730025011"":4,""060730042001"":4,""060730186111"":4,""060730053003"":4,""060650408151"":4,""060730095054"":4,""060730193024"":4,""060730017001"":4,""060730139062"":4,""060730027102"":4,""060730139052"":4,""060730083391"":4,""060730069001"":4,""060730031033"":4,""060830019015"":4,""060730092011"":4,""060730087022"":4,""060730087012"":4,""060730027111"":4,""060730095091"":4,""060730051002"":4}",OFFICES OF OPTOMETRISTS,MURPHY CANYON RD,"{'06073009511': 16, '06073009306': 13, '06073009510': 10, '06073009506': 10, '06073009305': 9, '06073009603': 8, '06073002708': 6, '06073002202': 6, '06073021100': 5, '06073000900': 5, '06073009502': 5, '06073009301': 5, '06073015701': 5, '06073009509': 5, '06073008305': 5, '06073001200': 5, '06073017055': 4, '06073002501': 4, '06073003109': 4, '06073002902': 4, '06073008510': 4, '06073009602': 4, '06073002712': 4, '06073008509': 4, '06073003103': 4, '06073003214': 4, '06073002705': 4, '06073013000': 4, '06073014602': 4, '06073008348': 4, '06065043257': 4, '06073008351': 4, '06073015902': 4, '06073006600': 4, '06073009505': 4, '06073001600': 4, '06073009202': 4, '06073002100': 4, '04013116702': 4, '06073009304': 4, '06073002402': 4, '06073003301': 4, '06073013906': 4, '49049000604': 4, '06073003401': 4, '06073008800': 4, '06073003501': 4, '06073005400': 4, '06073004900': 4, '06073004000': 4, '06073008340': 4, '06073009107': 4, '20177003400': 4, '06073001800': 4, '06071007000': 4, '06073021206': 4, '06073003901': 4, '06073008511': 4, '06073006802': 4, '06073013903': 4, '05085020102': 4, '06073002904': 4, '04013040521': 4, '06073010009': 4, '06073008303': 4, '06073006900': 4, '06073008347': 4, '06073008501': 4, '39099801600': 4, '32003002832': 4, '06073002711': 4, '04013060904': 4, '06073017037': 4, '06073013905': 4, '12083002604': 4, '05119004700': 4, '40027202500': 4, '53035092802': 4, '06073002601': 4, '06073003202': 4, '06071010018': 4, '06037408133': 4, '06073017049': 4, '06073008357': 4, '06073002201': 4, '06073009201': 4, '06073008702': 4, '06073001000': 4, '06073014200': 4, '06073014002': 4, '06073003305': 4, '06073002707': 4, '06073009604': 4, '06073005100': 4, '06071011001': 4, '06073003601': 4, '06073009507': 4, '06073002703': 4, '06073002502': 4, '04013115900': 4, '06073002803': 4, '06073008356': 4, '06073020403': 4, '06073014901': 4, '48201554403': 4, '06073002602': 4}",1
PAGLIALUNGA & HARRIS A PROFESSIONAL CORPORATION,92122,60730083391,"{""060730028011"":4,""060730076003"":4,""060730083241"":4,""060730170321"":4,""060730200293"":4,""060730085043"":4}","{""060730083391"":5,""060730176042"":4,""060730083241"":4,""060730170321"":4,""060730083531"":4}",OFFICES OF LAWYERS,LA JOLLA VILLAGE DR,"{'06073002801': 4, '06073007600': 4, '06073008324': 4, '06073017032': 4, '06073020029': 4, '06073008504': 4}",0.794268408
PAILIN THAI CAFE,92128,60730170522,"{""060730170562"":4,""060730170421"":4,""060730170321"":4,""060730170301"":4,""060730170552"":4}","{""060730188033"":4,""060730170322"":4,""060730170301"":4}",FULL-SERVICE RESTAURANTS,BERNARDO CENTER DR,"{'06073017056': 4, '06073017042': 4, '06073017032': 4, '06073017030': 4, '06073017055': 4}",0.416771159
PAINTED LEAF PRODUCTION,92139,60730032021,"{""060730139031"":4}",{},MOTION PICTURE & VIDEO INDUSTRIES,CUMBERLAND ST,{'06073013903': 4},0.370377472
PALADIN POLYGRAPH,92126,60730083501,"{""060730221001"":4}","{""060730133102"":4,""061110053032"":4}",INVESTIGATION SERVICES,MIRAMAR RD,{'06073022100': 4},0.117886565
PALEOWEST ARCHAEOLOGY,92110,60730065002,"{""060590320571"":4}",{},CONSULTING SERVICES,OLD TOWN AVE,{'06059032057': 4},0
PALETAS DE QUESO Y BANDERILLAS,92108,60730093041,"{""060730027051"":4}","{""060650432222"":6,""060730161002"":6,""060730083572"":4,""060650432462"":4,""060730090001"":4,""060710006062"":4,""060730083602"":4,""060730214001"":4,""060730213032"":4,""060730085073"":4,""060730032072"":4}",SWAP MEET VENDOR,FRIARS RD,{'06073002705': 4},0.348636229
PALETAS LA MICHOACANA,92113,60730035021,"{""060730050001"":4,""060730083661"":4,""060730036021"":4,""060730039022"":4,""060730039021"":4,""060730040004"":4,""060730039013"":4,""060730159024"":4,""060730125011"":4}","{""060730125022"":4,""060730036021"":4,""131390010041"":4,""060730035021"":4,""060730050001"":4,""060730035023"":4}",SNACK & NONALCOHOLIC BEVERAGE BARS,NATIONAL AVE,"{'06073005000': 4, '06073008366': 4, '06073003602': 4, '06073003902': 4, '06073004000': 4, '06073003901': 4, '06073015902': 4, '06073012501': 4}",0.982525421
PALI WINE COMPANY,92101,60730058001,"{""060730135061"":4}","{""060790102012"":4}",WINERIES,INDIA ST,{'06073013506': 4},0.261765691
PALOMINOS 5 MEXICAN SEAFOOD RESTAURANT,91978,60730135053,"{""060730028042"":5,""060730135043"":4}","{""060730135043"":7,""060730028042"":5}",LIMITED-SERVICE EATING PLACES,SWEETWATER SPRINGS BLVD,"{'06073002804': 5, '06073013504': 4}",0.713718453
PALOMINOS MEXICAN & SEAFOOD,92123,60730085111,"{""060730170412"":5,""060730097033"":4,""060730095071"":4,""060730026011"":4}","{""060730095103"":6,""060730101074"":6,""060730026011"":4,""060730148042"":4,""060730198063"":4}",FULL-SERVICE RESTAURANTS,CLAIREMONT MESA BLVD,"{'06073017041': 5, '06073009703': 4, '06073009507': 4, '06073002601': 4}",0.587908182
PANCHO VILLA 2 LLC,92173,60730101111,"{""060730101111"":4,""060730100092"":4,""060730100121"":4,""060730100091"":4,""060730100051"":4,""060730100122"":4}","{""060730100131"":10,""060730100092"":4,""060730162021"":4,""060730101111"":4,""060730100121"":4}",GROCERY (EXCEPT CONVENIENCE) STORES,DAIRY MART RD,"{'06073010111': 4, '06073010009': 4, '06073010012': 4, '06073010005': 4}",0.990965728
PANDA AUTO FAMILY LLC,92111,60730085111,"{""060670074021"":4,""060730028031"":4}",{},USED CAR DEALERS,MERCURY ST,"{'06067007402': 4, '06073002803': 4}",0.467682827
PANDA EXPRESS,92108,60730089022,{},{},LIMITED-SERVICE RESTAURANTS,FRIARS RD,{},0
PANDA EXPRESS #1920,92130,60730083291,"{""060730083301"":5,""060730170291"":4,""060730083241"":4,""060730083273"":4,""060730083272"":4,""060730083293"":4}","{""060730083301"":5,""060730083273"":4,""060730083332"":4,""060730135061"":4}",LIMITED-SERVICE RESTAURANTS,DEL MAR HEIGHTS RD,"{'06073008330': 5, '06073017029': 4, '06073008324': 4, '06073008327': 4, '06073008329': 4}",0.475251439
PANDA EXPRESS #2951,92109,60730079032,"{""060730079034"":4,""060610211232"":4,""060650420143"":4,""060730080032"":4,""060730083331"":4}","{""060730079033"":4,""060730080021"":4,""060730085031"":4,""060730214002"":4,""060610211232"":4,""060730100141"":4,""060730079102"":4}",LIMITED-SERVICE EATING PLACES,GARNET AVE,"{'06073007903': 4, '06061021123': 4, '06065042014': 4, '06073008003': 4, '06073008333': 4}",0.49656496
PANDA EXPRESS 1949,92128,60730170561,"{""060730170301"":11,""060730215002"":7,""060730170321"":7,""060730170551"":4,""060730083501"":4,""060730083582"":4,""060730170552"":4,""060730170333"":4,""060650414061"":4,""060730083242"":4,""060730170422"":4,""060730085111"":4,""060730083351"":4,""060730170151"":4,""060730170153"":4,""060730083281"":4,""060730170341"":4,""060730158011"":4,""060730170371"":4,""060730170513"":4,""060730170291"":4,""060730170102"":4,""060730170544"":4,""060730083601"":4}","{""060730170561"":9,""060730170301"":8,""060730170321"":6,""060730170212"":4,""060730170373"":4,""060730170513"":4,""060730170322"":4,""060730085111"":4,""060730170371"":4,""060730083501"":4,""060730191033"":4,""060730083332"":4,""060730200221"":4,""060730170222"":4,""060730170531"":4,""060590626373"":4,""060730170333"":4,""060730170422"":4,""060730170552"":4,""060730158011"":4,""060730190012"":4,""060730170551"":4,""060730170153"":4}",FULL-SERVICE RESTAURANTS,CARMEL MOUNTAIN RD,"{'06073017030': 11, '06073021500': 7, '06073017032': 7, '06073017055': 4, '06073008350': 4, '06073008358': 4, '06073017033': 4, '06065041406': 4, '06073008324': 4, '06073017042': 4, '06073008511': 4, '06073008335': 4, '06073017015': 4, '06073008328': 4, '06073017034': 4, '06073015801': 4, '06073017037': 4, '06073017051': 4, '06073017029': 4, '06073017010': 4, '06073017054': 4, '06073008360': 4}",0.9633372
PANDORA BY BEN BRIDGE #241,92108,60730089022,{},{},JEWELRY STORES,FRIARS RD,{},0
PANERA BREAD 4291,92101,60730053003,"{""060730100011"":4,""530499505001"":4,""060730128001"":4}","{""060816041012"":7,""060730162021"":4}",BAKED GOODS STORES,BROADWAY nan,"{'06073010001': 4, '53049950500': 4, '06073012800': 4}",0.713803128
PANERAI BOUTIQUE LA JOLLA,92037,60730082003,"{""060372190202"":4,""060730200223"":4,""060730207091"":4,""060730036022"":4}","{""060730200223"":4}",JEWELRY STORES,PROSPECT ST,"{'06037219020': 4, '06073020022': 4, '06073020709': 4, '06073003602': 4}",0.714080737
PANN AUTO PERFORMANCE,92121,60730083501,"{""060730163012"":4,""060730193023"":4,""060730150002"":4}","{""060730083514"":4,""060730008003"":4,""060730083481"":4,""060730170414"":4,""060730193023"":4}",MISCELLANEOUS STORE RETAILERS,TRADE ST,"{'06073016301': 4, '06073019302': 4, '06073015000': 4}",0.545251867
PAPA JOHN'S PIZZA #1339,92154,60730101071,{},{},LIMITED-SERVICE RESTAURANTS,HOLLISTER ST,{},0
PAPA JOHNS PIZZA #2928,92123,60730093064,"{""060730041004"":4,""060730134012"":4}","{""060730041004"":4}",LIMITED-SERVICE RESTAURANTS,MURPHY CANYON RD,"{'06073004100': 4, '06073013401': 4}",0.634625754
PAPAPRINT/ ECHO NEWSWEEK,92126,60730170561,"{""060730092022"":6,""060650432543"":5,""060730104011"":4,""060730027031"":4,""060730170561"":4,""060590992441"":4,""060730133131"":4,""060730170521"":4,""060730124022"":4,""060730134093"":4,""060730083352"":4,""060730194032"":4,""060730168023"":4,""060730200211"":4}","{""060730170561"":9,""060730170521"":6,""060730194032"":4,""060730027031"":4,""060730165044"":4,""060730083481"":4,""060730170361"":4,""060730027071"":4,""060730134093"":4}",NEWSPAPER PUBLISHERS,RANCHO CARMEL DR,"{'06073009202': 6, '06065043254': 5, '06073010401': 4, '06073002703': 4, '06073017056': 4, '06059099244': 4, '06073013313': 4, '06073017052': 4, '06073012402': 4, '06073013409': 4, '06073008335': 4, '06073019403': 4, '06073016802': 4, '06073020021': 4}",0.973412269
PAPAS PIZZA,92117,60730085034,"{""060650432063"":4}","{""060730085025"":4}",LIMITED-SERVICE RESTAURANTS,MORAGA AVE,{'06065043206': 4},0
PAPER SOURCE INC,92037,60730083611,"{""060730025021"":4,""060730133101"":4,""060730081013"":4,""482015108002"":4}","{""060730083411"":4,""060730080022"":4,""482015108003"":4}",OFFICE SUPPLIES & STATIONERY STORES,VILLA LA JOLLA DR,"{'06073002502': 4, '06073013310': 4, '06073008101': 4, '48201510800': 4}",0.628239536
PAPPALECCO KENSINGTON  LLC,92116,60730020012,{},{},SPECIAL FOOD SERVICES,ADAMS AVE,{},0
PAPPAZI INSURANCE AGENCY LLC,92119,60730098021,{},"{""060730118021"":4,""060730133141"":4}",INSURANCE AGENCIES & BROKERAGES,LAKE MURRAY BLVD,{},0
PAPS MARKET INC,92113,60730039012,"{""060730039012"":4}","{""060730039012"":4}",CONVENIENCE STORES,S 30TH ST,{'06073003901': 4},0.452812254
PARADISE NAILS,92110,60730066001,"{""060730110002"":5,""060730053001"":4,""060730218002"":4,""060730133102"":4,""060730068023"":4,""060730133112"":4,""060730093043"":4,""060730097033"":4,""060730167021"":4}","{""060730110002"":6,""060730071002"":5,""060730218002"":4,""060730221001"":4,""060730093043"":4,""060730168042"":4,""060730070021"":4,""060730167021"":4,""060730083661"":4,""060730168111"":4,""060730097033"":4,""060730039013"":4,""060730109002"":4}",NAIL SALONS,ROSECRANS ST,"{'06073011000': 5, '06073005300': 4, '06073021800': 4, '06073013310': 4, '06073006802': 4, '06073013311': 4, '06073009304': 4, '06073009703': 4, '06073016702': 4}",0.891018344
PARAKEET CAFE,92037,60730082001,{},{},SPECIAL FOOD SERVICES,SILVERADO ST,{},0
PARAKEET JUICERY,92130,60730082001,{},"{""060730136051"":4,""060730083111"":4,""060730208013"":4,""060730134101"":4,""060730083103"":4}",SNACK & NONALCOHOLIC BEVERAGE BARS,SILVERADO ST,{},0
PARAMOUNT COMPOSITES INC,92111,60730085111,"{""060730027074"":4}",{},OTHER PERSONAL SERVICES,VICKERS ST,{'06073002707': 4},0.417177319
PARAMOUNT RESIDENTIAL MORTGAGE GROUP INC,92122,60730083391,"{""060730028011"":4,""060730076003"":4,""060730083241"":4,""060730170321"":4,""060730200293"":4,""060730085043"":4}","{""060730083391"":5,""060730176042"":4,""060730083241"":4,""060730170321"":4,""060730083531"":4}",MORTGAGE & NONMORTGAGE BROKERS,LA JOLLA VILLAGE DR,"{'06073002801': 4, '06073007600': 4, '06073008324': 4, '06073017032': 4, '06073020029': 4, '06073008504': 4}",0.794268408
PARANA MARKETS,92106,60730214001,"{""060730219001"":4}","{""060730214001"":4}",MOBILE FOOD SERVICES,HISTORIC DECATUR RD,{'06073021900': 4},0.435057592
PARINAZ KARGAR ,92123,60730092011,"{""060730083611"":4,""060730093061"":4,""060730092011"":4}","{""060730085111"":4,""410430302003"":4,""060730092011"":4,""060730095091"":4}",BEAUTY SALONS,AERO DR,"{'06073008361': 4, '06073009306': 4, '06073009201': 4}",0.389840209
